airport,month,lat,lon,origin_count,dest_count
BGGH,2025_01,64.18364,-51.685814,45,10
BGGH,2025_03,64.18364,-51.685814,429,130
BGGH,2025_04,64.18364,-51.685814,442,117
BGGH,2025_05,64.18364,-51.685814,468,130
BGGH,2025_06,64.18364,-51.685814,461,138
BGGH,2025_07,64.18364,-51.685814,308,98
BGGH,2025_08,64.18364,-51.685814,532,163
BGGH,2025_09,64.18364,-51.685814,57,16
BGPT,2025_06,63.247925,-46.566186,1,0
BIAR,2025_01,63.854122,-17.490564,42,199
BIAR,2025_02,63.854122,-17.490564,34,166
BIAR,2025_03,63.854122,-17.490564,26,154
BIAR,2025_04,63.854122,-17.490564,22,192
BIAR,2025_05,63.854122,-17.490564,28,208
BIAR,2025_06,63.854122,-17.490564,20,172
BIAR,2025_07,63.854122,-17.490564,19,188
BIAR,2025_08,63.854122,-17.490564,26,169
BIAR,2025_09,63.854122,-17.490564,27,180
BIBD,2025_01,64.080139,-23.68927,42,131
BIBD,2025_02,64.080139,-23.68927,40,152
BIBD,2025_03,64.080139,-23.68927,23,56
BIBD,2025_04,64.080139,-23.68927,28,65
BIBD,2025_05,64.080139,-23.68927,35,66
BIBD,2025_06,64.080139,-23.68927,59,109
BIBD,2025_07,64.080139,-23.68927,80,180
BIBD,2025_08,64.080139,-23.68927,61,132
BIBD,2025_09,64.080139,-23.68927,77,217
BIBF,2025_02,66.583293,-7.36109,0,1
BIBF,2025_03,66.583293,-7.36109,3,0
BIBF,2025_04,66.583293,-7.36109,4,0
BIBF,2025_05,66.583293,-7.36109,14,0
BIBF,2025_06,66.583293,-7.36109,11,1
BIBF,2025_07,66.583293,-7.36109,3,5
BIBF,2025_08,66.583293,-7.36109,0,1
BIBF,2025_09,66.583293,-7.36109,1,0
BIBL,2025_01,64.681728,-19.415817,4,45
BIBL,2025_02,64.681728,-19.415817,7,51
BIBL,2025_03,64.681728,-19.415817,5,50
BIBL,2025_04,64.681728,-19.415817,5,53
BIBL,2025_05,64.681728,-19.415817,3,60
BIBL,2025_06,64.681728,-19.415817,2,58
BIBL,2025_07,64.681728,-19.415817,7,57
BIBL,2025_08,64.681728,-19.415817,9,48
BIBL,2025_09,64.681728,-19.415817,2,47
BIBV,2025_01,63.48436,-17.773132,0,1
BIBV,2025_02,63.48436,-17.773132,0,1
BIBV,2025_03,63.48436,-17.773132,1,0
BIBV,2025_05,63.48436,-17.773132,0,2
BIBV,2025_06,63.48436,-17.773132,0,1
BIBV,2025_07,63.48436,-17.773132,0,3
BIBV,2025_08,63.48436,-17.773132,1,1
BIBV,2025_09,63.48436,-17.773132,0,2
BIDV,2025_01,63.940568999999996,-17.629651,3,0
BIDV,2025_02,63.940568999999996,-17.629651,1,0
BIFM,2025_01,63.597382,-20.440909,6,12
BIFM,2025_02,63.597382,-20.440909,3,20
BIFM,2025_03,63.597382,-20.440909,4,10
BIFM,2025_04,63.597382,-20.440909,1,32
BIFM,2025_05,63.597382,-20.440909,1,21
BIFM,2025_06,63.597382,-20.440909,2,23
BIFM,2025_07,63.597382,-20.440909,1,32
BIFM,2025_08,63.597382,-20.440909,1,17
BIFM,2025_09,63.597382,-20.440909,7,33
BIGF,2025_01,63.915012,-24.272314,13,41
BIGF,2025_02,63.915012,-24.272314,9,49
BIGF,2025_03,63.915012,-24.272314,2,32
BIGF,2025_04,63.915012,-24.272314,3,18
BIGF,2025_05,63.915012,-24.272314,2,25
BIGF,2025_06,63.915012,-24.272314,1,46
BIGF,2025_07,63.915012,-24.272314,4,58
BIGF,2025_08,63.915012,-24.272314,9,36
BIGF,2025_09,63.915012,-24.272314,5,56
BIKF,2025_01,63.985016,-22.524508,1955,1768
BIKF,2025_02,63.985016,-22.524508,1857,1723
BIKF,2025_03,63.985016,-22.524508,2196,2093
BIKF,2025_04,63.985016,-22.524508,2514,2471
BIKF,2025_05,63.985016,-22.524508,2848,2773
BIKF,2025_06,63.985016,-22.524508,3164,3081
BIKF,2025_07,63.985016,-22.524508,3372,3186
BIKF,2025_08,63.985016,-22.524508,3394,3191
BIKF,2025_09,63.985016,-22.524508,2796,2593
BIKR,2025_02,64.718765,-19.223437,1,0
BIKR,2025_03,64.718765,-19.223437,2,1
BIKR,2025_06,64.718765,-19.223437,0,2
BINF,2025_03,64.322484,-9.27475,1,1
BINF,2025_04,64.322484,-9.27475,2,2
BINF,2025_05,64.322484,-9.27475,2,0
BINF,2025_06,64.322484,-9.27475,0,2
BINF,2025_07,64.322484,-9.27475,2,5
BINF,2025_09,64.322484,-9.27475,0,1
BIPA,2025_01,65.458824,-28.736294,7,12
BIPA,2025_02,65.458824,-28.736294,4,11
BIPA,2025_03,65.458824,-28.736294,4,16
BIPA,2025_04,65.458824,-28.736294,8,3
BIPA,2025_05,65.458824,-28.736294,10,8
BIPA,2025_06,65.458824,-28.736294,7,34
BIPA,2025_07,65.458824,-28.736294,14,40
BIPA,2025_08,65.458824,-28.736294,14,33
BIPA,2025_09,65.458824,-28.736294,8,24
BIRE,2025_02,65.219971,-22.187219,1,1
BIRE,2025_03,65.219971,-22.187219,1,2
BIRE,2025_06,65.219971,-22.187219,0,1
BIRE,2025_07,65.219971,-22.187219,0,1
BIRE,2025_08,65.219971,-22.187219,2,3
BIRE,2025_09,65.219971,-22.187219,0,1
BIRF,2025_01,64.322437,-23.813095,0,1
BIRF,2025_02,64.322437,-23.813095,0,2
BIRF,2025_03,64.322437,-23.813095,0,2
BIRF,2025_04,64.322437,-23.813095,1,4
BIRF,2025_05,64.322437,-23.813095,0,4
BIRF,2025_06,64.322437,-23.813095,2,4
BIRF,2025_07,64.322437,-23.813095,2,4
BIRF,2025_08,64.322437,-23.813095,1,2
