origin,destination,flights,origin_lat,origin_lon,destination_lat,destination_lon
KDAB,KDAB,12269,29.075684,-81.267823,29.075684,-81.267823
RJBH,RJTT,8643,35.386002,132.966728,35.558275,139.769206
KAFW,KAFW,8622,33.19249,-97.198187,33.19249,-97.198187
KIWA,KIWA,7248,33.267838,-111.814783,33.267838,-111.814783
KADS,KADS,4451,33.030116,-96.838653,33.030116,-96.838653
KAUS,KAUS,4425,30.398041,-97.566875,30.398041,-97.566875
KIND,KIND,3881,39.74807,-86.307007,39.74807,-86.307007
VHHH,VHHH,3769,22.505676,113.824302,22.505676,113.824302
KATL,KATL,3412,33.631805,-84.436924,33.631805,-84.436924
VABB,VOBL,3232,19.090235,72.853151,13.189133,77.761423
YBBN,YSSY,2630,-27.36335,153.118087,-33.95426,151.178055
RJAA,RJBH,2560,35.288223,144.953327,35.386002,132.966728
RCTP,VHHH,2431,25.071266,121.22286,22.505676,113.824302
WMKK,WSSS,2261,2.834885,101.664036,1.394938,103.996914
CYYC,CYYC,2173,51.129936,-113.990373,51.129936,-113.990373
RJBB,RJTT,2122,34.468627,135.305672,35.558275,139.769206
VIDP,VOBL,2098,28.513339,77.239541,13.189133,77.761423
KBTF,KBTF,2089,40.802456,-111.976364,40.802456,-111.976364
RJAA,RKSI,2085,35.288223,144.953327,37.451248,126.437414
KHHR,KSFO,2059,33.935806,-118.398257,37.622192,-122.377739
KBFI,KBFI,2026,47.458901,-122.307833,47.458901,-122.307833
VABB,VIDP,2021,19.090235,72.853151,28.513339,77.239541
PHNL,PHNL,2011,21.325289,-157.93026,21.325289,-157.93026
KSLC,KSLC,1974,40.62038,-111.994507,40.62038,-111.994507
RJBB,RKSI,1933,34.468627,135.305672,37.451248,126.437414
CYVR,CYYC,1923,49.182449,-123.140822,51.129936,-113.990373
KRDU,KRDU,1895,35.883396,-78.774193,35.883396,-78.774193
KLGA,KORD,1893,40.779353,-73.872351,41.967389,-87.912406
ZBAA,ZBAA,1854,41.074855,114.603008,41.074855,114.603008
CYVR,CYYZ,1851,49.182449,-123.140822,43.665475,-79.611544
KBNA,KBNA,1772,36.097583,-86.690252,36.097583,-86.690252
VHHH,VTBS,1756,22.505676,113.824302,13.69154,100.74
RJBB,RJBH,1751,34.468627,135.305672,35.386002,132.966728
VHHH,WSSS,1743,22.505676,113.824302,1.394938,103.996914
EDDF,EDDF,1726,50.034252,8.562247,50.034252,8.562247
KSNA,KSNA,1679,33.675053,-117.869274,33.675053,-117.869274
CYUL,CYYZ,1650,45.49585,-73.691319,43.665475,-79.611544
